,Store_Number,County,Sale_total_month
360,3942,Tama,11939.54
361,3943,Story,4605.58
362,3944,Dubuque,6649.5
363,3947,Poweshiek,2138.0
364,3949,Marion,2108.94
365,3950,Iowa,1311.18
366,3952,Scott,59139.45
367,3957,Clayton,1094.49
368,3959,Dubuque,1293.32
369,3963,Pottawattamie,8990.36
370,3964,Buena Vista,1806.36
371,3968,Jasper,906.16
372,3972,Hardin,788.5
373,3980,Johnson,11244.36
374,3981,Sioux,7067.04
375,3986,Woodbury,9184.11
376,3987,Kossuth,2617.12
377,3989,Cherokee,3857.89
378,3990,Mahaska,8896.66
379,3993,Black Hawk,5477.26
380,3995,Black Hawk,10613.79
381,3997,Clarke,2118.24
382,4000,Harrison,1655.58
383,4001,Carroll,4607.82
384,4004,Story,9080.7
385,4006,Lyon,1748.04
386,4008,Woodbury,926.41
387,4010,Mills,2837.22
388,4011,Monroe,2477.02
389,4013,Cedar,604.56
390,4014,Crawford,4446.64
391,4015,Story,5206.5
392,4016,Grundy,831.54
393,4018,Iowa,919.91
394,4019,Delaware,6373.68
395,4021,Jefferson,4365.6
396,4023,Boone,5134.2
397,4024,Hardin,798.78
398,4025,Benton,2074.39
399,4027,Appanoose,3891.48
400,4034,Allamakee,1513.17
401,4042,Mills,1187.22
402,4046,Appanoose,1584.43
403,4051,Jackson,2342.73
404,4057,Polk,11434.07
405,4062,Polk,5731.92
406,4067,Wapello,1740.89
407,4068,Polk,5923.02
408,4069,Wapello,1742.03
409,4070,Benton,4975.44
410,4073,Winnebago,12220.53
411,4077,Black Hawk,3305.8
412,4081,Story,1255.67
413,4083,Polk,3718.97
414,4084,Polk,3286.47
415,4090,Buchanan,795.91
416,4091,Cerro Gordo,4369.76
417,4092,Warren,16880.58
418,4097,Crawford,1425.68
419,4098,Washington,2954.88
420,4102,Story,2267.22
421,4103,Story,6697.89
422,4104,Cerro Gordo,7465.65
423,4105,Story,3101.76
424,4106,Dubuque,1228.59
425,4107,Boone,3443.74
426,4110,Butler,4144.2
427,4114,Cass,3762.66
428,4116,Sac,1186.1
429,4118,Sac,2073.39
430,4119,Black Hawk,1810.98
431,4125,Louisa,1007.19
