,Unnamed: 0,Company_name,Location,Salary,Title,Experience,City,State
85,27,        Booz Allen Hamilton,"Alexandria, VA",75000.0,Data_Scientist,Mid_level,Alexandria,VA
86,28,        TransVoyant,"Alexandria, VA 22303",75000.0,Data_Scientist,Mid_level,Alexandria,VA 22303
87,29,        Leidos,"Reston, VA 20191",75000.0,Data_Scientist,Mid_level,Reston,VA 20191
88,30,        ASRC Federal,"Alexandria, VA",75000.0,Data_Scientist,Mid_level,Alexandria,VA
89,31,        The Nielsen Company,"Columbia, MD",75000.0,Data_Scientist,Mid_level,Columbia,MD
90,32,        Altamira Technologies Corporation,"Springfield, VA",75000.0,Data_Scientist,Mid_level,Springfield,VA
91,33,    ISPA Technology,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
92,34,        Teradata,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
93,35,        Capgemini Government Solutions,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
94,36,    Lexington Solutions Group,"Washington, DC 20032 (Anacostia area)",75000.0,Data_Scientist,Mid_level,Washington,DC 20032 (Anacostia area)
95,37,"    The Upside Travel Company, LLC","Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
96,38,    DataLab USA,"Germantown, MD 20876",75000.0,Data_Scientist,Mid_level,Germantown,MD 20876
97,39,        Savi Technology,"Alexandria, VA 22304 (Seminary Hill area)",75000.0,Data_Scientist,Mid_level,Alexandria,VA 22304 (Seminary Hill area)
98,40,    ESNS,"Herndon, VA",75000.0,Data_Scientist,Mid_level,Herndon,VA
99,41,"    Creative Associates International, Inc.","Washington, DC 20015 (Barnaby Woods area)",75000.0,Data_Scientist,Mid_level,Washington,DC 20015 (Barnaby Woods area)
100,42,        Accenture,"Chantilly, VA",75000.0,Data_Scientist,Mid_level,Chantilly,VA
101,43,    Aquila Technology,"Springfield, VA",75000.0,Data_Scientist,Mid_level,Springfield,VA
102,44,        Concurrent Technologies Corporation,"Arlington, VA",75000.0,Data_Scientist,Mid_level,Arlington,VA
103,45,        TransVoyant,"Alexandria, VA 22303",75000.0,Data_Scientist,Mid_level,Alexandria,VA 22303
104,46,        IHS Markit,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
105,47,        Mitre Corporation,"Washington, DC 20024 (South West area)",75000.0,Data_Scientist,Mid_level,Washington,DC 20024 (South West area)
106,48,        In-Q-Tel,"Arlington, VA 22201 (Lyon Village area)",75000.0,Data_Scientist,Mid_level,Arlington,VA 22201 (Lyon Village area)
107,49,"    Teaching Strategies, LLC","Bethesda, MD 20814",75000.0,Data_Scientist,Mid_level,Bethesda,MD 20814
108,50,        Altamira Technologies Corporation,"Springfield, VA",75000.0,Data_Scientist,Mid_level,Springfield,VA
109,51,        KPMG,"McLean, VA",75000.0,Data_Scientist,Mid_level,McLean,VA
110,52,        KPMG,"Washington, DC 20036 (Downtown area)",75000.0,Data_Scientist,Mid_level,Washington,DC 20036 (Downtown area)
111,53,"    Apogee Integration, LLC","Springfield, VA",75000.0,Data_Scientist,Mid_level,Springfield,VA
112,54,        Jobspring Partners,"Reston, VA",75000.0,Data_Scientist,Mid_level,Reston,VA
113,55,        SOSi,"Reston, VA",75000.0,Data_Scientist,Mid_level,Reston,VA
114,56,        ANALYTICA,"Woodlawn, MD",75000.0,Data_Scientist,Mid_level,Woodlawn,MD
115,57,        Smith Hanley Associates,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
116,58,    GGTI,"Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
117,59,        Rare,"Arlington, VA",75000.0,Data_Scientist,Mid_level,Arlington,VA
118,60,        Quadrant Inc,"Silver Spring, MD",75000.0,Data_Scientist,Mid_level,Silver Spring,MD
119,61,        ICF International,"Fairfax, VA",75000.0,Data_Scientist,Mid_level,Fairfax,VA
120,62,        Capital One,"McLean, VA",75000.0,Data_Scientist,Mid_level,McLean,VA
121,63,    WhiteHawk Inc.,"Baltimore, MD",75000.0,Data_Scientist,Mid_level,Baltimore,MD
122,64,"    Solebrity, Inc.","Ashburn, VA 20147",75000.0,Data_Scientist,Mid_level,Ashburn,VA 20147
123,65,        Altamira Technologies Corporation,"Chantilly, VA",75000.0,Data_Scientist,Mid_level,Chantilly,VA
124,66,        Bay State,"Lanham, MD",75000.0,Data_Scientist,Mid_level,Lanham,MD
125,67,        S&P GLOBAL MARKET INTELLIGENCE,"Charlottesville, VA 22909 (North East area)",75000.0,Data_Scientist,Mid_level,Charlottesville,VA 22909 (North East area)
126,68,        KPMG,"Washington, DC 20036 (Downtown area)",75000.0,Data_Scientist,Mid_level,Washington,DC 20036 (Downtown area)
127,69,        Mitre Corporation,"McLean, VA",75000.0,Data_Scientist,Mid_level,McLean,VA
128,70,"    Elite Technical Services, Inc.","Washington, DC",75000.0,Data_Scientist,Mid_level,Washington,DC
129,71,        Strategic Staffing Solutions,"McLean, VA",75000.0,Data_Scientist,Mid_level,McLean,VA
130,72,        Engility Corporation,"Chantilly, VA 20151",75000.0,Data_Scientist,Mid_level,Chantilly,VA 20151
